Loop Index,GAP Value,Removed Feature Index,Removed Feature Name
0,0.12778743502028833,28,Age_Enroll
1,0.13100610291598777,16,Exp_Below950_Slicer
2,0.12988962355429082,13,Slicer_IntensityStdDev_In
3,0.13292635733724067,48,deltaFEV1
4,0.1356596702281313,34,Duration_Smoking
5,0.14077982466404304,47,pre_FEF2575
6,0.14111472017818377,26,Pi15_SRWA
7,0.14347535173429268,25,Pi10_SRWA
8,0.14582740116965631,33,ATS_PackYears
9,0.14993243752613911,20,Slicer_IntensityStdDev_Ex
10,0.15416701113634887,27,WallAreaPct_seg
11,0.1582007413411497,2,BMI
12,0.16247689732211804,49,deltaFVC
13,0.16744423467803729,0,Weight_KG
14,0.17272238505450199,5,SGRQ_scoreImpact
15,0.17447575604635465,3,SGRQ_scoreSymptom
16,0.18212390352384514,31,TLCpp_race_adjusted
17,0.18404704976793193,51,BDR_pct_FVC
18,0.19186255816071351,50,BDR_pct_FEV1
19,0.19729145121284616,4,SGRQ_scoreActive
20,0.20354271973622032,36,FVCpp_utah
21,0.21168343365304393,41,FEF2575_utah
22,0.21563829591884265,6,SGRQ_scoreTotal
23,0.22442198413541883,23,Slicer_ExpInspMeanAtten_ratio
24,0.22851492921689107,19,Slicer_IntensityMean_Ex
25,0.22865477858775929,24,UpperThird_LowerThird_Slicer
26,0.23652292032437239,11,Insp_Below856_Slicer
27,0.24073542157345817,12,Slicer_IntensityMean_In
28,0.25146364225625395,35,FEV1pp_utah
29,0.25479268350344753,32,FRCpp_race_adjusted
30,0.26146839383095444,46,pre_PEF
31,0.26341843209951132,40,PEF_utah
32,0.26737195215465309,18,Exp_Below856_Slicer
33,0.27154233500450364,10,Insp_Below910_Slicer
34,0.27017731149637991,43,pre_FEV6
35,0.27123716050462338,45,pre_FEV1_FVC
36,0.27237728534903671,37,FEV1_FVC_utah
37,0.28352214484307348,14,FRC_Slicer
38,0.28480009866320255,7,TLC_Slicer
39,0.28242367557597597,42,pre_FEV1
40,0.28178435790941231,38,FEV1_utah
41,0.28676146042573813,15,pctGasTrap_Slicer
42,0.28878172124273116,44,pre_FVC
43,0.30615663488546013,39,FVC_utah
44,0.30504920364015464,1,Height_CM
45,0.29513405520025238,22,pctEmph_LowerThird_Slicer
46,0.2760250981479408,17,Exp_Below910_Slicer
47,0.23862979884276042,21,pctEmph_UpperThird_Slicer
48,0.20641432473901067,8,pctEmph_Slicer
49,0.11437513865083643,30,FRCpred_race_adjusted
50,0.0054704520893285036,9,Insp_Below950_Slicer
""
""
Last Remaining Feature,TLCpred_race_adjusted
