Features removed by redundancy
Height_CM
SGRQ_scoreActive
SGRQ_scoreImpact
pctEmph_Slicer
Insp_Below910_Slicer
Insp_Below856_Slicer
Slicer_IntensityMean_In
pctGasTrap_Slicer
Exp_Below950_Slicer
Exp_Below910_Slicer
Slicer_15pctEx_Total
Slicer_IntensityMean_Ex
pctEmph_UpperThird_Slicer
pctEmph_LowerThird_Slicer
FRCpred_race_adjusted
finalGold
FVC_utah
PEF_utah
pre_FEV1
pre_FEV6
pre_FEV1_FVC
pre_FEF2575
ATS_ERS
BDR_pct_FVC
""
""
""
The following are results of wrapper:
Loop Index,Inertia value,Normalized Inertia,Removed Feature Index,Removed Feature Name
0,-168634.63558591684,-3306.561482076801,51,OthSmokChildYrs
1,-164232.63911401093,-3284.6527822802186,35,UpperThird_LowerThird_Slicer
2,-159841.18931361125,-3262.0650880328826,32,deltaFEV1
3,-155486.28964167036,-3239.2977008681323,23,YearsSinceQuit
4,-151131.52712264698,-3215.5644068648294,42,SmokStartAge
5,-146878.77498632765,-3193.0168475288619,45,OthSmokYrs
6,-142632.70383906338,-3169.6156408680754,41,NumEpisodeLastYr
7,-138398.22570688819,-3145.4142206110951,21,CigPerDaySmokNow
8,-134191.11339857653,-3120.7235674087565,22,deltaFVC
9,-130001.09227449457,-3095.2641017736801,37,CoughNumYr
10,-125803.02947777971,-3068.3665726287736,38,PhlegmNumYr
11,-121613.86363697793,-3040.3465909244483,46,BronchTimes
12,-117430.70941094364,-3011.0438310498371,40,CigPerDaySmokAvg
13,-113249.95354619947,-2980.261935426302,44,ExpSmokAtWorkYr
14,-109100.10039360569,-2948.6513619893431,24,BDR_pct_FEV1
15,-105001.26873508937,-2916.701909308038,49,PneuTimes
16,-100919.48328706725,-2883.4138082019217,50,ERLungProbtimes
17,-96878.484698296568,-2849.3671970087225,33,Duration_Smoking
18,-92847.829720360925,-2813.5705975866949,20,Slicer_IntensityStdDev_Ex
19,-88798.970350572548,-2774.9678234553921,27,Slicer_IntensityStdDev_In
20,-84786.789320832599,-2735.0577200268581,36,ATS_PackYears
21,-80811.074821126051,-2693.702494037535,25,Age_Enroll
22,-76917.848831114272,-2652.3396148660095,47,TreatChestTimes
23,-73000.07402213756,-2607.145500790627,48,TreatSteroiTimes
24,-69158.695238542074,-2561.4331569830397,43,Exacerbation_Frequency
25,-65437.478113742261,-2516.8260812977792,31,Weight_KG
26,-61511.29939446901,-2460.4519757787602,30,BMI
27,-57820.934078008002,-2409.2055865836669,39,Resting_SaO2
28,-54181.30701094697,-2355.7090004759552,28,Pi15_SRWA
29,-50671.492756513013,-2303.2496707505916,29,Pi10_SRWA
30,-47115.859020442243,-2243.6123343067734,26,WallAreaPct_seg
31,-43631.71076226046,-2181.5855381130232,19,TLCpp_race_adjusted
32,-40237.993424294131,-2117.789127594428,34,distwalked
33,-37028.515768197889,-2057.1397648998827,17,FVCpp_utah
34,-34046.458960145304,-2002.7328800085472,18,SGRQ_scoreSymptom
35,-30923.456327039621,-1932.7160204399763,15,MMRCDyspneaScor
36,-27683.201866959691,-1845.5467911306462,9,SGRQ_scoreTotal
37,-24836.982494545802,-1774.0701781818429,13,TLCpred_race_adjusted
38,-22198.446764069264,-1707.5728280053279,16,TLC_Slicer
39,-19790.159228923909,-1649.1799357436591,5,Slicer_15pctIn_Total
40,-17449.608675327407,-1586.3280613934005,8,pre_FVC
41,-15170.932211891599,-1517.09322118916,14,FRC_Slicer
42,-12903.345615027809,-1433.7050683364232,7,Slicer_ExpInspMeanAtten_ratio
43,-10627.98861377397,-1328.4985767217463,11,FRCpp_race_adjusted
44,-8645.207212508898,-1235.0296017869855,10,pre_PEF
45,-6658.1856887354561,-1109.6976147892426,12,BODE
46,-5105.1864387184332,-1021.0372877436866,2,FEV1_utah
47,-3692.0974105103787,-923.02435262759468,6,FEV1pp_utah
48,-2318.1389452442545,-772.71298174808487,1,FEF2575_utah
49,-1102.814686244609,-551.4073431223045,3,FEV1_FVC_utah
50,-277.49873739172779,-277.49873739172779,0,Exp_Below856_Slicer
""
""
Last Remaining Feature,Insp_Below950_Slicer
