Loop Index,Silhouette(Original),Silhouette(Reference),Added Feature Index,Added Feature Name
0,0.74963030064849911,0.63158489010247487,24,UpperThird_LowerThird_Slicer
1,0.69481860892074809,0.63559189198238097,17,Exp_Below910_Slicer
2,0.67805843965735013,0.55619347760256643,16,Exp_Below950_Slicer
3,0.68192147598592745,0.44254370605637933,21,pctEmph_UpperThird_Slicer
4,0.68831157053109204,0.36243505071761634,8,pctEmph_Slicer
5,0.66572829674894829,0.3225843094990668,9,Insp_Below950_Slicer
6,0.61994208372006876,0.2467190450316869,22,pctEmph_LowerThird_Slicer
7,0.58567462692043937,0.16434707303894527,15,pctGasTrap_Slicer
8,0.54713771283971346,0.18778691308532214,18,Exp_Below856_Slicer
9,0.50954363024414417,0.11765256770536199,37,FEV1_FVC_utah
10,0.47668851933317374,0.14821984032774133,35,FEV1pp_utah
11,0.44523855041778704,0.13538287516465439,32,FRCpp_race_adjusted
12,0.42384921797024855,0.094113694993042354,38,FEV1_utah
13,0.40028755723815418,0.084472011490906385,10,Insp_Below910_Slicer
14,0.37792503860110571,0.098546858401642831,45,pre_FEV1_FVC
15,0.34200872525396148,0.074398221432422626,6,SGRQ_scoreTotal
16,0.32700771388284594,0.064125176512099993,28,Age_Enroll
17,0.31085536958076282,0.054349599913806709,13,Slicer_IntensityStdDev_In
18,0.21570982718858892,0.082818698913117286,50,BDR_pct_FEV1
19,0.22678857455869816,0.056660478631424795,5,SGRQ_scoreImpact
20,0.23656194058259419,0.055302384459655282,3,SGRQ_scoreSymptom
21,0.23208147441816768,0.046985212288611342,4,SGRQ_scoreActive
22,0.22412879026665908,0.04800496023224448,19,Slicer_IntensityMean_Ex
23,0.2195282637717153,0.039461902502046918,12,Slicer_IntensityMean_In
24,0.2156883868462153,0.04061596963484268,42,pre_FEV1
25,0.20857429677367129,0.034896061938649539,41,FEF2575_utah
26,0.20228467365861635,0.037835180801354465,23,Slicer_ExpInspMeanAtten_ratio
27,0.19850740235546555,0.033092160225121042,14,FRC_Slicer
28,0.19236017359718285,0.031534556610036228,47,pre_FEF2575
29,0.18749368308696834,0.051637986473698327,46,pre_PEF
30,0.18335341013759626,0.035073904172798424,11,Insp_Below856_Slicer
31,0.1804327227777911,0.029490488648569388,43,pre_FEV6
32,0.17756447880395523,0.026042405199419309,2,BMI
33,0.17564968154666039,0.027465518932021815,25,Pi10_SRWA
34,0.17399257658173448,0.027769514250354836,26,Pi15_SRWA
35,0.17431495222754192,0.023469340734768768,27,WallAreaPct_seg
36,0.17264605620233858,0.024985789217367802,31,TLCpp_race_adjusted
37,0.1708904844480702,0.022734634183642723,40,PEF_utah
38,0.16996991611313472,0.028762218860062808,7,TLC_Slicer
39,0.16691664327665429,0.023283946616843732,44,pre_FVC
40,0.16443393005309412,0.021513768414045484,36,FVCpp_utah
41,0.16146111879684605,0.021922067475931284,0,Weight_KG
42,0.15954296312491362,0.019195355145040859,20,Slicer_IntensityStdDev_Ex
43,0.15556512399865499,0.019230538912751439,39,FVC_utah
44,0.15481997114617788,0.020167379228610578,29,TLCpred_race_adjusted
45,0.15559934009868495,0.019113004986020702,30,FRCpred_race_adjusted
46,0.15249918829921402,0.018849345956194589,1,Height_CM
47,0.1496276220563397,0.019167914783977277,51,BDR_pct_FVC
48,0.14726224243835473,0.019182835967571529,49,deltaFVC
49,0.14331439222419814,0.018700916041766383,48,deltaFEV1
50,0.14005878270134828,0.016942814434931591,33,ATS_PackYears
