Loop Index,GAP Value,Added Feature Index,Added Feature Name
0,0.013666532946795873,22,pctEmph_LowerThird_Slicer
1,0.11122943707736116,10,Insp_Below910_Slicer
2,0.10232222327043927,12,Slicer_IntensityMean_In
3,0.18701278738622396,11,Insp_Below856_Slicer
4,0.20540235341886615,24,UpperThird_LowerThird_Slicer
5,0.23888248033020199,9,Insp_Below950_Slicer
6,0.26060959297227781,8,pctEmph_Slicer
7,0.27861199683689131,21,pctEmph_UpperThird_Slicer
8,0.28156604333651158,16,Exp_Below950_Slicer
9,0.2539556750271762,45,pre_FEV1_FVC
10,0.241441560685903,31,TLCpp_race_adjusted
11,0.23031077093951977,19,Slicer_IntensityMean_Ex
12,0.21210731247936995,37,FEV1_FVC_utah
13,0.20533738012077352,18,Exp_Below856_Slicer
14,0.20559060262748591,17,Exp_Below910_Slicer
15,0.1994631108909079,27,WallAreaPct_seg
16,0.19214780342050042,13,Slicer_IntensityStdDev_In
17,0.1873487051752179,35,FEV1pp_utah
18,0.19035743138744199,14,FRC_Slicer
19,0.18383681120184789,26,Pi15_SRWA
20,0.17998052568617043,25,Pi10_SRWA
21,0.18784408025038871,15,pctGasTrap_Slicer
22,0.18278814701341867,5,SGRQ_scoreImpact
23,0.1810591905938129,4,SGRQ_scoreActive
24,0.18243699706375388,6,SGRQ_scoreTotal
25,0.18423753723968833,42,pre_FEV1
26,0.18084735535828414,43,pre_FEV6
27,0.17997365193929038,38,FEV1_utah
28,0.17744686186402603,7,TLC_Slicer
29,0.17593427725927158,3,SGRQ_scoreSymptom
30,0.17687548073863138,32,FRCpp_race_adjusted
31,0.17052177545782832,51,BDR_pct_FVC
32,0.16794386642680179,44,pre_FVC
33,0.16566664041474577,40,PEF_utah
34,0.16336015585256158,36,FVCpp_utah
35,0.16002491143279249,23,Slicer_ExpInspMeanAtten_ratio
36,0.15780140970383114,0,Weight_KG
37,0.1553284624016551,48,deltaFEV1
38,0.15056568953367763,2,BMI
39,0.14750582130598694,1,Height_CM
40,0.14364251861446578,46,pre_PEF
41,0.14202001333816897,39,FVC_utah
42,0.14136529944975862,29,TLCpred_race_adjusted
43,0.14595886198156807,30,FRCpred_race_adjusted
44,0.14410608075624393,47,pre_FEF2575
45,0.14122079715661914,41,FEF2575_utah
46,0.14068978008649799,33,ATS_PackYears
47,0.13631374992181844,50,BDR_pct_FEV1
48,0.13427797481342507,20,Slicer_IntensityStdDev_Ex
49,0.13164757837220123,49,deltaFVC
50,0.12772706340198023,28,Age_Enroll
51,0.12399153633427112,34,Duration_Smoking
