Loop Index,GAP Value,Added Feature Index,Added Feature Name
0,-0.0052120729087841156,35,FEV1pp_utah
1,-0.040548249793565916,37,FEV1_FVC_utah
2,0.083687719118466064,36,FVCpp_utah
3,0.12060911264226104,45,pre_FEV1_FVC
4,0.15704681976306342,24,UpperThird_LowerThird_Slicer
5,0.14995005132465433,41,FEF2575_utah
6,0.20412624919527356,47,pre_FEF2575
7,0.22575080942435907,42,pre_FEV1
8,0.23495335118136879,18,Exp_Below856_Slicer
9,0.21687091068059616,21,pctEmph_UpperThird_Slicer
10,0.21199508909243275,17,Exp_Below910_Slicer
11,0.20732431009441959,40,PEF_utah
12,0.22130770530255861,38,FEV1_utah
13,0.2245722531020069,15,pctGasTrap_Slicer
14,0.21585944413506833,31,TLCpp_race_adjusted
15,0.19168040241857509,33,ATS_PackYears
16,0.18577015649067719,5,SGRQ_scoreImpact
17,0.14219315861057089,43,pre_FEV6
18,0.15254350508863523,46,pre_PEF
19,0.15253720848231661,8,pctEmph_Slicer
20,0.16210056648555418,7,TLC_Slicer
21,0.1609474339983808,9,Insp_Below950_Slicer
22,0.17055397476133075,39,FVC_utah
23,0.17067391015742189,32,FRCpp_race_adjusted
24,0.17133150794977367,16,Exp_Below950_Slicer
25,0.17365512962769991,14,FRC_Slicer
26,0.17789806454566437,30,FRCpred_race_adjusted
27,0.17396891107253715,12,Slicer_IntensityMean_In
28,0.18411601015687082,29,TLCpred_race_adjusted
29,0.18844481900424384,44,pre_FVC
30,0.18668660072999249,22,pctEmph_LowerThird_Slicer
31,0.18867153802107167,10,Insp_Below910_Slicer
32,0.18415866669784808,25,Pi10_SRWA
33,0.18360433459900985,48,deltaFEV1
34,0.17684748477577744,1,Height_CM
35,0.1787984113251104,50,BDR_pct_FEV1
36,0.16949491677051925,2,BMI
37,0.16702568140693935,0,Weight_KG
38,0.16208057223160496,51,BDR_pct_FVC
39,0.15641528411145253,3,SGRQ_scoreSymptom
40,0.15664982361948337,19,Slicer_IntensityMean_Ex
41,0.15409098738891844,49,deltaFVC
42,0.14904078922114039,23,Slicer_ExpInspMeanAtten_ratio
43,0.14643951112563561,11,Insp_Below856_Slicer
44,0.14465611010190932,26,Pi15_SRWA
45,0.14335616987945587,6,SGRQ_scoreTotal
46,0.13900872050470428,13,Slicer_IntensityStdDev_In
47,0.1399492634392131,20,Slicer_IntensityStdDev_Ex
48,0.13251140676662504,4,SGRQ_scoreActive
49,0.13044099547924376,28,Age_Enroll
50,0.12735504608002476,34,Duration_Smoking
51,0.12412194013628718,27,WallAreaPct_seg
